"","X","milestone","state","open.issues","closed.issues","created.time","updated.time","closed.time","due.time","totalIssues","issueZscore","hasOpenIssueAMC","abnormalIssueNumber","noDueTime"
"1",1,1678631," closed",0,1," 2016-04-01T18:45:22Z"," 2016-04-08T16:08:14Z"," 2016-04-08T16:08:14Z"," None",1,-0.281980823078766,0,0,1
"2",2,1640082," closed",0,1," 2016-03-12T00:41:07Z"," 2016-03-12T01:00:12Z"," 2016-03-12T00:59:26Z"," None",1,-0.281980823078766,0,0,1
"3",3,1568409," closed",0,0," 2016-02-07T04:13:45Z"," 2016-02-11T02:17:34Z"," 2016-02-11T02:17:34Z"," 2016-02-01T05:00:00Z",0,-0.966791393412913,0,0,0
"4",4,1568411," closed",0,1," 2016-02-07T04:15:19Z"," 2016-02-23T08:31:22Z"," 2016-02-23T08:31:22Z"," 2016-02-11T05:00:00Z",1,-0.281980823078766,0,0,0
"5",5,1581573," closed",0,0," 2016-02-14T04:00:42Z"," 2016-02-15T22:26:12Z"," 2016-02-15T22:26:12Z"," 2016-02-14T05:00:00Z",0,-0.966791393412913,0,0,0
"6",6,1584399," closed",0,1," 2016-02-15T22:28:45Z"," 2016-02-21T04:17:13Z"," 2016-02-20T21:48:15Z"," 2016-02-18T05:00:00Z",1,-0.281980823078766,0,0,0
"7",7,1584411," closed",0,1," 2016-02-15T22:38:39Z"," 2016-02-20T22:14:15Z"," 2016-02-20T21:48:31Z"," 2016-02-22T05:00:00Z",1,-0.281980823078766,0,0,0
"8",8,1595134," closed",0,0," 2016-02-20T23:56:44Z"," 2016-02-26T05:43:05Z"," 2016-02-26T05:43:05Z"," 2016-02-22T05:00:00Z",0,-0.966791393412913,0,0,0
"9",9,1595137," closed",0,1," 2016-02-21T00:01:44Z"," 2016-02-26T05:43:15Z"," 2016-02-26T05:43:15Z"," 2016-02-23T05:00:00Z",1,-0.281980823078766,0,0,0
"10",10,1607439," closed",0,6," 2016-02-26T05:45:27Z"," 2016-03-02T19:44:50Z"," 2016-03-02T19:44:50Z"," 2016-02-29T05:00:00Z",6,3.14207202859197,0,1,0
"11",11,1610000," closed",0,1," 2016-02-28T07:27:22Z"," 2016-03-03T05:07:00Z"," 2016-03-03T05:07:00Z"," 2016-02-29T05:00:00Z",1,-0.281980823078766,0,0,0
"12",12,1610049," closed",0,1," 2016-02-28T09:20:35Z"," 2016-03-03T05:07:06Z"," 2016-03-03T05:07:06Z"," 2016-03-01T05:00:00Z",1,-0.281980823078766,0,0,0
"13",13,1640090," closed",0,3," 2016-03-12T00:47:06Z"," 2016-04-03T23:27:14Z"," 2016-04-03T23:27:14Z"," 2016-03-24T04:00:00Z",3,1.08764031758953,0,0,0
"14",14,1640089," closed",0,3," 2016-03-12T00:46:29Z"," 2016-04-03T23:27:19Z"," 2016-04-03T23:27:19Z"," 2016-03-25T04:00:00Z",3,1.08764031758953,0,0,0
"15",15,1640096," closed",0,1," 2016-03-12T00:56:00Z"," 2016-04-03T23:27:22Z"," 2016-04-03T23:27:22Z"," 2016-03-25T04:00:00Z",1,-0.281980823078766,0,0,0
"16",16,1640103," closed",0,2," 2016-03-12T01:07:39Z"," 2016-04-03T23:27:25Z"," 2016-04-03T23:27:25Z"," 2016-03-25T04:00:00Z",2,0.40282974725538,0,0,0
"17",17,1640107," closed",0,1," 2016-03-12T01:18:20Z"," 2016-04-03T23:27:27Z"," 2016-04-03T23:27:27Z"," 2016-03-31T04:00:00Z",1,-0.281980823078766,0,0,0
