"","milestone","state","open issues","closed issues","created time","updated time","closed time","due time"
"112",1577084," closed",0,4," 2016-02-11T07:03:26Z"," 2016-03-03T02:15:55Z"," 2016-03-02T01:36:23Z"," None"
"113",1567295," closed",0,1," 2016-02-05T22:07:39Z"," 2016-02-05T22:15:46Z"," 2016-02-05T22:15:46Z"," 2016-02-01T05:00:00Z"
"114",1567308," closed",0,2," 2016-02-05T22:14:53Z"," 2016-03-02T01:36:19Z"," 2016-03-02T01:36:19Z"," 2016-02-07T05:00:00Z"
"115",1567306," closed",0,5," 2016-02-05T22:13:37Z"," 2016-02-17T16:44:26Z"," 2016-02-17T16:44:26Z"," 2016-02-09T05:00:00Z"
"116",1567328," closed",0,3," 2016-02-05T22:22:23Z"," 2016-03-02T01:36:21Z"," 2016-03-02T01:36:21Z"," 2016-02-13T05:00:00Z"
"117",1571640," closed",0,4," 2016-02-08T23:57:11Z"," 2016-03-02T01:36:28Z"," 2016-03-02T01:36:28Z"," 2016-03-01T05:00:00Z"
"118",1567299," closed",0,1," 2016-02-05T22:10:22Z"," 2016-03-03T02:17:31Z"," 2016-03-03T02:14:02Z"," 2016-03-01T05:00:00Z"
"119",1588908," closed",0,6," 2016-02-17T16:49:58Z"," 2016-03-02T04:25:31Z"," 2016-03-02T04:25:31Z"," 2016-03-01T05:00:00Z"
"120",1609675," closed",0,7," 2016-02-27T20:06:25Z"," 2016-04-08T02:44:38Z"," 2016-03-02T01:36:34Z"," 2016-03-01T05:00:00Z"
"121",1567302," closed",0,3," 2016-02-05T22:11:49Z"," 2016-04-08T02:44:55Z"," 2016-04-08T02:44:55Z"," 2016-04-01T04:00:00Z"
"122",1668507," closed",0,6," 2016-03-28T05:21:26Z"," 2016-04-08T02:44:52Z"," 2016-04-08T02:44:52Z"," 2016-04-05T04:00:00Z"
"123",1668508," closed",0,6," 2016-03-28T05:21:40Z"," 2016-04-08T02:44:53Z"," 2016-04-08T02:44:53Z"," 2016-04-06T04:00:00Z"
