"","milestone","state","open issues","closed issues","created time","updated time","closed time","due time"
"30",1507856," closed",0,1," 2016-01-14T21:50:01Z"," 2016-02-05T15:44:26Z"," 2016-02-05T15:44:26Z"," None"
"31",1679839," closed",0,2," 2016-04-02T23:10:41Z"," 2016-04-19T18:57:50Z"," 2016-04-08T03:53:18Z"," None"
"32",1586738," closed",0,2," 2016-02-16T20:05:19Z"," 2016-03-03T13:56:14Z"," 2016-03-03T13:56:14Z"," 2016-02-21T05:00:00Z"
"33",1564562," closed",0,6," 2016-02-04T22:34:09Z"," 2016-04-19T18:58:46Z"," 2016-04-06T13:35:56Z"," 2016-02-25T05:00:00Z"
"34",1564567," closed",0,1," 2016-02-04T22:35:10Z"," 2016-04-06T13:35:49Z"," 2016-04-06T13:35:49Z"," 2016-02-28T05:00:00Z"
"35",1618056," closed",0,1," 2016-03-02T15:05:52Z"," 2016-04-06T13:35:47Z"," 2016-04-06T13:35:47Z"," 2016-03-07T05:00:00Z"
"36",1564573," closed",0,2," 2016-02-04T22:36:39Z"," 2016-04-06T13:35:45Z"," 2016-04-06T13:35:45Z"," 2016-03-20T04:00:00Z"
"37",1564570," closed",0,1," 2016-02-04T22:35:56Z"," 2016-04-06T13:35:44Z"," 2016-04-06T13:35:44Z"," 2016-03-24T04:00:00Z"
"38",1618058," closed",0,1," 2016-03-02T15:06:10Z"," 2016-04-06T13:35:42Z"," 2016-04-06T13:35:42Z"," 2016-03-25T04:00:00Z"
"39",1564572," closed",0,1," 2016-02-04T22:36:09Z"," 2016-04-08T03:53:37Z"," 2016-04-08T03:53:20Z"," 2016-03-30T04:00:00Z"
